Title,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10
,Menton,Nice,"27 February, 2026",€2.5,0,0,公車,ZOU!,100號公車//,
,Nice Flug.,Marseille – Gare Saint-Charles,"28 February, 2026",€9.99,€1.7,0,客運,Blablacar,中途跳車/輕軌/,
,Marseille,Barcelona,"1 March, 2026",€54,€1.7,€2.25,郵輪,Costa,"含單人內艙&三餐/ZOU!, 公車/T3-PortBus, 公車",
,Barcelona,Naples,"3 March, 2026",€54,€2.25,0,郵輪,Costa,"含單人內艙&三餐/T3-PortBus, 公車/",
,"Naples ",Palermo,"4 March, 2026",€54,0,0,郵輪,Costa,含單人內艙&三餐//,
,PMO Flug.,NUE Flug.,"6 March, 2026",€19.99,€6,0,飛機,RyanAir,"/Prestia e Comandè, 客運/",
荷比法,M. ZOB.,Utrecht,"8 March, 2026",€15,0,€3,"客運 ",Flixbus,"通票//NS, 火車",
,Utrecht Central,Zaandijk,"9 March, 2026",€12.9,0,0,火車,NS,//,
,Zanndijk,Amsterdam Cental,"9 March, 2026",€4.2,0,0,火車,NS,//,
,Amsterdam Sloterdijk,Den Haag,"11 March, 2026",€1.5,0,0,客運,Flixbus,xhs €2.5 折扣碼//,
,Den Haag,Rotterdam,"11 March, 2026",€5.5,0,0,火車,RET,//,
,Rotterdam,"Brussel ","11 March, 2026",€6,0,0,客運,Flixbus,xhs €2.5 折扣碼//,
,Brussel,Brugge,"12 March, 2026",€7.5,0,0,火車,SNCB,Train+ 分攤 €2//,
,Brugge,Gent,"13 March, 2026",€5,0,0,火車,SNCB,Train+ 分攤 €2//,
,Gent,Paris,"13 March, 2026",€5.81,0,0,客運,Flixbus,xhs 優惠碼//,
,Paris,M. ZOB.,"16 March, 2026",€15,0,0,客運,Flixbus,通票//,
北德兩英行,M. ZOB.,Düsseldorf,"19 March, 2026",€15,0,0,客運,Flixbus,通票//,
,Wuppertal Hbf.,Wuppertal Hbf.,"20 March, 2026",0,0,0,火車,DB,//,"Essen Hbf., Dortmund Hbf., Bochum Hbf., Aachen Hbf."
,Wuppertal Hbf.,Koblenz Hbf.,"21 March, 2026",0,0,0,火車,DB,//,"Duisburg Hbf., Köln Hbf"
,HHN Flug.,DUB. Flug.,"21 March, 2026",€14.99,0,0,飛機,RyanAir,//,
,DUB Flug.,LTN Flug.,"23 March, 2026",€15,0,€11.6,飛機,RyanAir,"//arriva, GreenLine 757",
,LGW Flug.,MUC Flug.,"26 March, 2026",€45,€19.24,0,飛機,easyjet,"/National Rail, 火車/",
