Title,Latitude,Longitude,MarkerType,RawLocation,CanonicalTarget,CanonicalCity,Country,MappingBasis,Confidence,ReviewStatus,Notes
"Alias - Düsseldorf to Düsseldorf","51.2197340","6.7943015","Location alias mapping","Düsseldorf","Düsseldorf","Düsseldorf","Germany","canonical_name_match","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Erfurt Hbf. to Erfurt","50.9727731","11.0378865","Location alias mapping","Erfurt Hbf.","Erfurt","Erfurt","Germany","station_suffix_removed","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Essen Hbf. to Essen","51.4514769","7.0144679","Location alias mapping","Essen Hbf.","Essen","Essen","Germany","station_suffix_removed","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - FCO Flug. to FCO / Leonardo da Vinci Fiumicino Airport","41.8153911","12.2264848","Location alias mapping","FCO Flug.","FCO / Leonardo da Vinci Fiumicino Airport","Rome","Italy","airport_code","medium","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - FMM Flug. to FMM / Memmingen Airport","47.9888241","10.2350723","Location alias mapping","FMM Flug.","FMM / Memmingen Airport","Munich","Germany","airport_code","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker. Owner-confirmed airport-to-domain-City mapping"
"Alias - Frankfurt Hbf. to Frankfurt","50.1066539","8.6625808","Location alias mapping","Frankfurt Hbf.","Frankfurt","Frankfurt","Germany","explicit_alias_rule","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Freiburg Hbf. to Freiburg","47.9977308","7.8412948","Location alias mapping","Freiburg Hbf.","Freiburg","Freiburg","Germany","explicit_alias_rule","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Friedrichshafen Stadt Bf. to Friedrichshafen","47.6532337","9.4737004","Location alias mapping","Friedrichshafen Stadt Bf.","Friedrichshafen","Friedrichshafen","Germany","explicit_alias_rule","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Gengenbach to Gengenbach","48.4045788","8.0101727","Location alias mapping","Gengenbach","Gengenbach","Gengenbach","Germany","canonical_name_match","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Gent to Gent","51.0360946","3.7108051","Location alias mapping","Gent","Gent","Gent","Belgium","canonical_name_match","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Hamburg Hbf. to Hamburg","53.5526959","10.0075644","Location alias mapping","Hamburg Hbf.","Hamburg","Hamburg","Germany","station_suffix_removed","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Hamburg ZOB to Hamburg","53.5526959","10.0075644","Location alias mapping","Hamburg ZOB","Hamburg","Hamburg","Germany","explicit_alias_rule","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Heidelberg Hbf. to Heidelberg","49.4034737","8.6754223","Location alias mapping","Heidelberg Hbf.","Heidelberg","Heidelberg","Germany","station_suffix_removed","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - HHN Flug. to HHN / Frankfurt-Hahn Airport","49.9446334","7.2612103","Location alias mapping","HHN Flug.","HHN / Frankfurt-Hahn Airport","Koblenz","Germany","airport_code","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker. Owner-confirmed mapping to the last City before the airport in its Trip"
"Alias - Hof Hbf. to Hof","50.3080628","11.9233140","Location alias mapping","Hof Hbf.","Hof","Hof","Germany","station_suffix_removed","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Idstein Bf. to Idstein","50.2159384","8.2575508","Location alias mapping","Idstein Bf.","Idstein","Idstein","Germany","explicit_alias_rule","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Karlovy Vary to Karlovy Vary","50.2354590","12.8667221","Location alias mapping","Karlovy Vary","Karlovy Vary","Karlovy Vary","Czechia","canonical_name_match","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Karlsruhe Hbf. to Karlsruhe","48.9940078","8.4016492","Location alias mapping","Karlsruhe Hbf.","Karlsruhe","Karlsruhe","Germany","station_suffix_removed","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Koblenz Hbf. to Koblenz","50.3508227","7.5892636","Location alias mapping","Koblenz Hbf.","Koblenz","Koblenz","Germany","station_suffix_removed","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Köln Hbf to Cologne","50.9427839","6.9590705","Location alias mapping","Köln Hbf","Cologne","Cologne","Germany","explicit_alias_rule","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Königssee to Königssee","47.5921790","12.9875030","Location alias mapping","Königssee","Königssee","Königssee","Germany","canonical_name_match","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker. Owner-approved City-like Location exception"
"Alias - KRK Flug. to KRK / Kraków John Paul II International Airport","50.0782553","19.7862538","Location alias mapping","KRK Flug.","KRK / Kraków John Paul II International Airport","Kraków","Poland","airport_code","medium","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Leipzig Hbf to Leipzig","51.3465518","12.3830858","Location alias mapping","Leipzig Hbf","Leipzig","Leipzig","Germany","explicit_alias_rule","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - LGW Flug. to LGW / London Gatwick Airport","51.1540772","-0.1823226","Location alias mapping","LGW Flug.","LGW / London Gatwick Airport","London","United Kingdom","airport_code","medium","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Lindau-Insel to Lindau","47.5442020","9.6808298","Location alias mapping","Lindau-Insel","Lindau","Lindau","Germany","reference_point_match","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - LTN Flug. to LTN / London Luton Airport","51.8781015","-0.3664255","Location alias mapping","LTN Flug.","LTN / London Luton Airport","London","United Kingdom","airport_code","medium","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Lübeck Hbf. to Lübeck","53.8671234","10.6704782","Location alias mapping","Lübeck Hbf.","Lübeck","Lübeck","Germany","station_suffix_removed","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - M. Hbf. to Munich","48.1407253","11.5569426","Location alias mapping","M. Hbf.","Munich","Munich","Germany","explicit_alias_rule","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - M. ZOB to Munich","48.1407253","11.5569426","Location alias mapping","M. ZOB","Munich","Munich","Germany","explicit_alias_rule","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - M. ZOB. to Munich","48.1407253","11.5569426","Location alias mapping","M. ZOB.","Munich","Munich","Germany","explicit_alias_rule","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Mainz Hbf to Mainz","50.0013856","8.2586022","Location alias mapping","Mainz Hbf","Mainz","Mainz","Germany","explicit_alias_rule","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Mannheim Hbf. to Mannheim","49.4796632","8.4698178","Location alias mapping","Mannheim Hbf.","Mannheim","Mannheim","Germany","station_suffix_removed","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Marseille to Marseille","43.3032635","5.3811927","Location alias mapping","Marseille","Marseille","Marseille","France","canonical_name_match","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Marseille – Gare Saint-Charles to Marseille","43.3032635","5.3811927","Location alias mapping","Marseille – Gare Saint-Charles","Marseille","Marseille","France","explicit_alias_rule","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Menton to Menton","43.7747030","7.4931157","Location alias mapping","Menton","Menton","Menton","France","canonical_name_match","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Monaco to Monaco","43.7382624","7.4194983","Location alias mapping","Monaco","Monaco","Monaco","Monaco","canonical_name_match","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - MUC Flug. to MUC / Munich Airport","48.3539625","11.7785925","Location alias mapping","MUC Flug.","MUC / Munich Airport","Munich","Germany","airport_code","medium","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - MXP Flug. to MXP / Milan Malpensa Airport","45.6296273","8.7235475","Location alias mapping","MXP Flug.","MXP / Milan Malpensa Airport","Milan","Italy","airport_code","medium","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Naples to Naples","40.8530238","14.2731399","Location alias mapping","Naples","Naples","Naples","Italy","canonical_name_match","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - NAV Flug. to NAV / Nevşehir Kapadokya Airport","38.7724585","34.5273468","Location alias mapping","NAV Flug.","NAV / Nevşehir Kapadokya Airport","Göreme","Turkey","airport_code","medium","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - NCE Flug. to NCE / Nice Côte d'Azur Airport","43.6598152","7.2137460","Location alias mapping","NCE Flug.","NCE / Nice Côte d'Azur Airport","Nice","France","airport_code","medium","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Nice to Nice","43.7048972","7.2617286","Location alias mapping","Nice","Nice","Nice","France","canonical_name_match","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Nice Flug. to NCE / Nice Côte d'Azur Airport","43.6598152","7.2137460","Location alias mapping","Nice Flug.","NCE / Nice Côte d'Azur Airport","Nice","France","confirmed_airport_alias","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - NUE Flug. to NUE / Nuremberg Airport","49.4982685","11.0781063","Location alias mapping","NUE Flug.","NUE / Nuremberg Airport","Nürnberg","Germany","airport_code","medium","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Nürnberg Hbf. to Nürnberg","49.4451991","11.0823089","Location alias mapping","Nürnberg Hbf.","Nürnberg","Nürnberg","Germany","explicit_alias_rule","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - OSL Flug. to OSL / Oslo Airport Gardermoen","60.1978654","11.0996754","Location alias mapping","OSL Flug.","OSL / Oslo Airport Gardermoen","Oslo","Norway","airport_code","medium","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - OTP Flug. to OTP / Henri Coandă International Airport","44.5683390","26.1025536","Location alias mapping","OTP Flug.","OTP / Henri Coandă International Airport","Bucharest","Romania","airport_code","medium","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Palermo to Palermo","38.1092571","13.3674799","Location alias mapping","Palermo","Palermo","Palermo","Italy","canonical_name_match","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Paris to Paris","48.8804003","2.3549733","Location alias mapping","Paris","Paris","Paris","France","canonical_name_match","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - PMO Flug. to PMO / Falcone Borsellino Airport","38.1765169","13.0916430","Location alias mapping","PMO Flug.","PMO / Falcone Borsellino Airport","Palermo","Italy","airport_code","medium","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Prague to Prague","50.0829628","14.4360939","Location alias mapping","Prague","Prague","Prague","Czechia","canonical_name_match","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Praha h.n. to Prague","50.0829628","14.4360939","Location alias mapping","Praha h.n.","Prague","Prague","Czechia","explicit_alias_rule","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Rotterdam to Rotterdam","51.9253937","4.4687190","Location alias mapping","Rotterdam","Rotterdam","Rotterdam","Netherlands","canonical_name_match","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Salzburg Hbf. to Salzburg","47.8130618","13.0458530","Location alias mapping","Salzburg Hbf.","Salzburg","Salzburg","Austria","station_suffix_removed","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - SAW Flug. to SAW / Istanbul Sabiha Gökçen International Airport","40.8943341","29.3118058","Location alias mapping","SAW Flug.","SAW / Istanbul Sabiha Gökçen International Airport","Istanbul","Turkey","airport_code","medium","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Speyer Hbf. to Speyer","49.3241568","8.4283506","Location alias mapping","Speyer Hbf.","Speyer","Speyer","Germany","station_suffix_removed","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - STN Flug. to STN / London Stansted Airport","51.8869652","0.2441929","Location alias mapping","STN Flug.","STN / London Stansted Airport","London","United Kingdom","airport_code","medium","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - STR Flug. to STR / Stuttgart Airport","48.6884220","9.2053925","Location alias mapping","STR Flug.","STR / Stuttgart Airport","Stuttgart","Germany","airport_code","medium","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Strasbourg Hbf. to Strasbourg","48.5852933","7.7339249","Location alias mapping","Strasbourg Hbf.","Strasbourg","Strasbourg","France","explicit_alias_rule","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - SXB Flug. to SXB / Strasbourg Airport","48.5388709","7.6254457","Location alias mapping","SXB Flug.","SXB / Strasbourg Airport","Strasbourg","France","airport_code","medium","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - TRF Flug. to TRF / Sandefjord Airport Torp","59.1846890","10.2585603","Location alias mapping","TRF Flug.","TRF / Sandefjord Airport Torp","Oslo","Norway","airport_code","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker. Owner-confirmed airport-to-domain-City mapping"
"Alias - Triberg to Triberg","48.1403719","8.2368619","Location alias mapping","Triberg","Triberg","Triberg","Germany","canonical_name_match","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Ulm Hbf. to Ulm","48.3994159","9.9826024","Location alias mapping","Ulm Hbf.","Ulm","Ulm","Germany","station_suffix_removed","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Utrecht to Utrecht","52.0893825","5.1096021","Location alias mapping","Utrecht","Utrecht","Utrecht","Netherlands","canonical_name_match","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Utrecht Central to Utrecht","52.0893825","5.1096021","Location alias mapping","Utrecht Central","Utrecht","Utrecht","Netherlands","explicit_alias_rule","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - VNO Flug. to VNO / Vilnius Airport","54.6349686","25.2905319","Location alias mapping","VNO Flug.","VNO / Vilnius Airport","Vilnius","Lithuania","airport_code","medium","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Wiesbaden Hbf. to Wiesbaden","50.0698313","8.2439848","Location alias mapping","Wiesbaden Hbf.","Wiesbaden","Wiesbaden","Germany","station_suffix_removed","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Wuppertal Hbf. to Wuppertal","51.2543138","7.1500364","Location alias mapping","Wuppertal Hbf.","Wuppertal","Wuppertal","Germany","station_suffix_removed","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Würzburg Hbf. to Würzburg","49.8015215","9.9359849","Location alias mapping","Würzburg Hbf.","Würzburg","Würzburg","Germany","station_suffix_removed","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Zaandijk to Zaandijk","52.4692791","4.8051566","Location alias mapping","Zaandijk","Zaandijk","Zaandijk","Netherlands","canonical_name_match","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
